"ImageNumber","plate","well","gene","puro","Image_FileNames_Filename_OrigDNA","Image_PathNames_Path_OrigDNA"
81,1,21,"Gabra2",1,"AS_09125_050116000001_A21f00d0.png","images"
82,1,21,"Gabra2",1,"AS_09125_050116000001_A21f01d0.png","images"
83,1,21,"Gabra2",1,"AS_09125_050116000001_A21f02d0.png","images"
84,1,21,"Gabra2",1,"AS_09125_050116000001_A21f03d0.png","images"
85,1,22,"MAP2K3",1,"AS_09125_050116000001_A22f00d0.png","images"
86,1,22,"MAP2K3",1,"AS_09125_050116000001_A22f01d0.png","images"
87,1,22,"MAP2K3",1,"AS_09125_050116000001_A22f02d0.png","images"
88,1,22,"MAP2K3",1,"AS_09125_050116000001_A22f03d0.png","images"
89,1,23,"Gabra2",1,"AS_09125_050116000001_A23f00d0.png","images"
90,1,23,"Gabra2",1,"AS_09125_050116000001_A23f01d0.png","images"
91,1,23,"Gabra2",1,"AS_09125_050116000001_A23f02d0.png","images"
92,1,23,"Gabra2",1,"AS_09125_050116000001_A23f03d0.png","images"
93,1,24,"MAP2K3",1,"AS_09125_050116000001_A24f00d0.png","images"
94,1,24,"MAP2K3",1,"AS_09125_050116000001_A24f01d0.png","images"
95,1,24,"MAP2K3",1,"AS_09125_050116000001_A24f02d0.png","images"
96,1,24,"MAP2K3",1,"AS_09125_050116000001_A24f03d0.png","images"
97,1,25,"GALK1",1,"AS_09125_050116000001_B01f00d0.png","images"
98,1,25,"GALK1",1,"AS_09125_050116000001_B01f01d0.png","images"
99,1,25,"GALK1",1,"AS_09125_050116000001_B01f02d0.png","images"
100,1,25,"GALK1",1,"AS_09125_050116000001_B01f03d0.png","images"
101,1,26,"PRPS2",1,"AS_09125_050116000001_B02f00d0.png","images"
102,1,26,"PRPS2",1,"AS_09125_050116000001_B02f01d0.png","images"
103,1,26,"PRPS2",1,"AS_09125_050116000001_B02f02d0.png","images"
104,1,26,"PRPS2",1,"AS_09125_050116000001_B02f03d0.png","images"
105,1,27,"GALK1",1,"AS_09125_050116000001_B03f00d0.png","images"
106,1,27,"GALK1",1,"AS_09125_050116000001_B03f01d0.png","images"
107,1,27,"GALK1",1,"AS_09125_050116000001_B03f02d0.png","images"
108,1,27,"GALK1",1,"AS_09125_050116000001_B03f03d0.png","images"
109,1,28,"PRPS2",1,"AS_09125_050116000001_B04f00d0.png","images"
110,1,28,"PRPS2",1,"AS_09125_050116000001_B04f01d0.png","images"
111,1,28,"PRPS2",1,"AS_09125_050116000001_B04f02d0.png","images"
112,1,28,"PRPS2",1,"AS_09125_050116000001_B04f03d0.png","images"
113,1,29,"GALK1",1,"AS_09125_050116000001_B05f00d0.png","images"
114,1,29,"GALK1",1,"AS_09125_050116000001_B05f01d0.png","images"
115,1,29,"GALK1",1,"AS_09125_050116000001_B05f02d0.png","images"
116,1,29,"GALK1",1,"AS_09125_050116000001_B05f03d0.png","images"
117,1,30,"PRPS2",1,"AS_09125_050116000001_B06f00d0.png","images"
118,1,30,"PRPS2",1,"AS_09125_050116000001_B06f01d0.png","images"
119,1,30,"PRPS2",1,"AS_09125_050116000001_B06f02d0.png","images"
120,1,30,"PRPS2",1,"AS_09125_050116000001_B06f03d0.png","images"
121,1,31,"GALK1",1,"AS_09125_050116000001_B07f00d0.png","images"
122,1,31,"GALK1",1,"AS_09125_050116000001_B07f01d0.png","images"
123,1,31,"GALK1",1,"AS_09125_050116000001_B07f02d0.png","images"
124,1,31,"GALK1",1,"AS_09125_050116000001_B07f03d0.png","images"
125,1,32,"PRPS2",1,"AS_09125_050116000001_B08f00d0.png","images"
126,1,32,"PRPS2",1,"AS_09125_050116000001_B08f01d0.png","images"
127,1,32,"PRPS2",1,"AS_09125_050116000001_B08f02d0.png","images"
128,1,32,"PRPS2",1,"AS_09125_050116000001_B08f03d0.png","images"
129,1,33,"GALK1",1,"AS_09125_050116000001_B09f00d0.png","images"
130,1,33,"GALK1",1,"AS_09125_050116000001_B09f01d0.png","images"
131,1,33,"GALK1",1,"AS_09125_050116000001_B09f02d0.png","images"
132,1,33,"GALK1",1,"AS_09125_050116000001_B09f03d0.png","images"
133,1,34,"PRPS2",1,"AS_09125_050116000001_B10f00d0.png","images"
134,1,34,"PRPS2",1,"AS_09125_050116000001_B10f01d0.png","images"
135,1,34,"PRPS2",1,"AS_09125_050116000001_B10f02d0.png","images"
136,1,34,"PRPS2",1,"AS_09125_050116000001_B10f03d0.png","images"
137,1,35,"NME1",1,"AS_09125_050116000001_B11f00d0.png","images"
138,1,35,"NME1",1,"AS_09125_050116000001_B11f01d0.png","images"
139,1,35,"NME1",1,"AS_09125_050116000001_B11f02d0.png","images"
140,1,35,"NME1",1,"AS_09125_050116000001_B11f03d0.png","images"
141,1,36,"TK1",1,"AS_09125_050116000001_B12f00d0.png","images"
142,1,36,"TK1",1,"AS_09125_050116000001_B12f01d0.png","images"
143,1,36,"TK1",1,"AS_09125_050116000001_B12f02d0.png","images"
